AAAAA;6179;5787;6440;10398;6185;4126;4999;6371;6494;9071
AAAAB;79343;79465;78464;80685;82028;82605;78508;80737;78628;79227
AAAAC;31404;34114;30816;29584;29598;29013;30102;29381;29808;31844
ABAAA;5027;6424;7485;5948;6176;5574;6442;5265;4871;4670
ABAAB;79397;81579;79854;79588;78882;79577;80669;80707;77742;79527
ABAAC;28055;31959;30386;28537;30520;27951;27233;29349;29167;30077
ACAAA;4905;5864;4304;4271;5063;4253;4736;5964;8866;7974
ACAAB;80772;80876;80648;80101;80646;79382;80434;79688;82287;79830
ACAAC;28741;33428;30250;30622;31301;28690;28385;29254;35196;31087
BAAAA;5332;5375;4710;5485;6244;4119;5725;8668;5541;7316
BAAAB;75178;77944;77102;75189;76236;77114;71815;75400;76043;74594
BAAAC;27131;26447;28172;29132;29095;28965;26660;26407;28825;26697
BBAAA;5528;6671;6525;6530;4738;4494;5333;7028;6626;7171
BBAAB;74790;73203;76455;77328;75727;73459;74878;77706;76495;76544
BBAAC;32852;28205;29755;27430;26943;31932;28518;27210;27882;27728
BCAAA;6049;4291;4916;6551;4543;5337;8659;5734;6314;7142
BCAAB;75795;76691;77067;76756;79559;77380;77266;78397;77836;77349
BCAAC;27367;28054;30870;26965;30154;28876;29251;30628;32036;27624
