     #data, run, bin, learner,            goal,  a,  b,  c, d,   acc,    pd,    pf, prec,  bal
 iris.arff,   2,   2,      nb,  Iris-virginica, 49,  0, 20, 1,  71.4, 100.0,  29.0,  4.8, 79.5
 iris.arff,   2,   2,      nb, Iris-versicolor, 49,  0, 20, 1,  71.4, 100.0,  29.0,  4.8, 79.5
 iris.arff,   2,   2,      nb,     Iris-setosa, 49,  0, 20, 1,  71.4, 100.0,  29.0,  4.8, 79.5
 iris.arff,   1,   2,      nb,  Iris-virginica, 52,  1, 16, 2,  76.1,  66.7,  23.5, 11.1, 71.1
 iris.arff,   1,   2,      nb, Iris-versicolor, 52,  1, 16, 2,  76.1,  66.7,  23.5, 11.1, 71.1
 iris.arff,   1,   2,      nb,     Iris-setosa, 52,  1, 16, 2,  76.1,  66.7,  23.5, 11.1, 71.1
 iris.arff,   3,   3,      nb,  Iris-virginica, 30,  1, 18, 1,  62.0,  50.0,  37.5,  5.3, 55.8
 iris.arff,   3,   3,      nb, Iris-versicolor, 30,  1, 18, 1,  62.0,  50.0,  37.5,  5.3, 55.8
 iris.arff,   3,   3,      nb,     Iris-setosa, 30,  1, 18, 1,  62.0,  50.0,  37.5,  5.3, 55.8
 iris.arff,   3,   2,      nb,  Iris-virginica, 38,  2, 31, 1,  54.2,  33.3,  44.9,  3.1, 43.2
 iris.arff,   3,   2,      nb, Iris-versicolor, 38,  2, 31, 1,  54.2,  33.3,  44.9,  3.1, 43.2
 iris.arff,   3,   2,      nb,     Iris-setosa, 38,  2, 31, 1,  54.2,  33.3,  44.9,  3.1, 43.2
 iris.arff,   3,   3,     j48,  Iris-virginica, 20, 11, 18, 0,  40.8,   0.0,  47.4,  0.0, 21.8
 iris.arff,   3,   3,     j48, Iris-versicolor, 20, 11, 18, 0,  40.8,   0.0,  47.4,  0.0, 21.8
 iris.arff,   3,   3,     j48,     Iris-setosa, 20, 11, 18, 0,  40.8,   0.0,  47.4,  0.0, 21.8
 iris.arff,   3,   2,     j48,  Iris-virginica, 40,  0, 29, 0,  58.0,   0.0,  42.0,  0.0, 23.3
 iris.arff,   3,   2,     j48, Iris-versicolor, 40,  0, 29, 0,  58.0,   0.0,  42.0,  0.0, 23.3
 iris.arff,   3,   2,     j48,     Iris-setosa, 40,  0, 29, 0,  58.0,   0.0,  42.0,  0.0, 23.3
 iris.arff,   3,   1,      nb,  Iris-virginica,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   3,   1,      nb, Iris-versicolor,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   3,   1,      nb,     Iris-setosa,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   3,   1,     j48,  Iris-virginica,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   3,   1,     j48, Iris-versicolor,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   3,   1,     j48,     Iris-setosa,  0,  0, 49, 0,   0.0,   0.0, 100.0,  0.0,  0.0
 iris.arff,   2,   3,      nb,  Iris-virginica, 30,  0, 17, 0,  63.8,   0.0,  36.2,  0.0, 24.8
 iris.arff,   2,   3,      nb, Iris-versicolor, 30,  0, 17, 0,  63.8,   0.0,  36.2,  0.0, 24.8
 iris.arff,   2,   3,      nb,     Iris-setosa, 30,  0, 17, 0,  63.8,   0.0,  36.2,  0.0, 24.8
 iris.arff,   2,   3,     j48,  Iris-virginica, 31,  0, 17, 0,  64.6,   0.0,  35.4,  0.0, 25.0
 iris.arff,   2,   3,     j48, Iris-versicolor, 31,  0, 17, 0,  64.6,   0.0,  35.4,  0.0, 25.0
 iris.arff,   2,   3,     j48,     Iris-setosa, 31,  0, 17, 0,  64.6,   0.0,  35.4,  0.0, 25.0
 iris.arff,   2,   2,     j48,  Iris-virginica, 46,  0, 22, 0,  67.6,   0.0,  32.4,  0.0, 25.7
 iris.arff,   2,   2,     j48, Iris-versicolor, 46,  0, 22, 0,  67.6,   0.0,  32.4,  0.0, 25.7
 iris.arff,   2,   2,     j48,     Iris-setosa, 46,  0, 22, 0,  67.6,   0.0,  32.4,  0.0, 25.7
 iris.arff,   2,   1,      nb,  Iris-virginica, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   2,   1,      nb, Iris-versicolor, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   2,   1,      nb,     Iris-setosa, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   2,   1,     j48,  Iris-virginica, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   2,   1,     j48, Iris-versicolor, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   2,   1,     j48,     Iris-setosa, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   3,      nb,  Iris-virginica, 34,  0, 13, 0,  72.3,   0.0,  27.7,  0.0, 26.6
 iris.arff,   1,   3,      nb, Iris-versicolor, 34,  0, 13, 0,  72.3,   0.0,  27.7,  0.0, 26.6
 iris.arff,   1,   3,      nb,     Iris-setosa, 34,  0, 13, 0,  72.3,   0.0,  27.7,  0.0, 26.6
 iris.arff,   1,   3,     j48,  Iris-virginica, 32,  0, 13, 0,  71.1,   0.0,  28.9,  0.0, 26.4
 iris.arff,   1,   3,     j48, Iris-versicolor, 32,  0, 13, 0,  71.1,   0.0,  28.9,  0.0, 26.4
 iris.arff,   1,   3,     j48,     Iris-setosa, 32,  0, 13, 0,  71.1,   0.0,  28.9,  0.0, 26.4
 iris.arff,   1,   2,     j48,  Iris-virginica, 50,  0, 18, 0,  73.5,   0.0,  26.5,  0.0, 26.9
 iris.arff,   1,   2,     j48, Iris-versicolor, 50,  0, 18, 0,  73.5,   0.0,  26.5,  0.0, 26.9
 iris.arff,   1,   2,     j48,     Iris-setosa, 50,  0, 18, 0,  73.5,   0.0,  26.5,  0.0, 26.9
 iris.arff,   1,   1,      nb,  Iris-virginica, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   1,      nb, Iris-versicolor, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   1,      nb,     Iris-setosa, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   1,     j48,  Iris-virginica, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   1,     j48, Iris-versicolor, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
 iris.arff,   1,   1,     j48,     Iris-setosa, 49,  0,  0, 0, 100.0,   0.0,   0.0,  0.0,  0.0
